본문,결과
"얼마전 저는 남사친과 쭈삼을 먹다가 필수 코스인 볶음밥을 주문했습니다. 그러자 훈훈한 비주얼의 알바생이 하트모양으로 볶아주고 “맛있게 드세요.” 라는거에요. 그러자 남사친이 “대박, 나보고 웃는거 봤어?”하고 사진을 찍었습니다. 며칠후 훈훈한 알바생이 다시 보고싶어서 남사친과 또 쭈삼집을 방문했습니다. 그날도 훈훈한 아르바이트생 오빠가 저희 테이블에서 볶을밥을 만들려는데 남사친이 아르바이트생 오빠를 돌려보내고 직접 자기가 밥을 볶겠다고 하며 하트모양 볶음밥을 만들었습니다. 직후 “내가 만든건 왜 안찍어?”라고 하면서 이후 저에게 연락 빈도가 늘은것 같았습니다.",2
날씨가 흐릿흐릿 하던 날 아무 생각 없이 학교로 입장 했는데 점점 시간이 흐를수록 먹구름이 존나게 끼더니 결국 3교시쯤 비가 후두둑 쏟아지더라 순간 집에갈 걱정에 안절부절 하고있던 찰나 언제나 그랬듯이 볼펜으로 등을 쿡쿡 찌르는 그년. 왜 하고 뒤를 돌아보는데 요년이 배실배실 쪼개면서 “너 우산 안가져왔지 ㅋㅋㅋㅋ 교복 다버리겠네ㅋㅋㅋㅋ” 요러더라 존나 빡쳐서 그년의 말을 가뿐히 씹어주고. 시간은 흐르고 흘러 종례시간 창밖을 바라보니 여전히 비는 내리고 있더라 ㅅㅂㅅㅂ 거리며 엄마 부를려고 핸드폰을 꺼내는데 요년이 갑자기 엉덩이를 쿡쿡 찌름 존나 빡쳐서 “아~ 또 뭔데?” 요러니까 날 빤히 쳐다보며 “나 집에 데려다줘!” 드립 그렇게 그년이랑 바싹 붙어서 우산을 쓰며 그년 아파트 쪽으로 걸어가는데 좀 어색하더라 서로 아무말 없이 얼마나 걸었을까??? 이년 집 앞에 다다를 무렵 갑자기 요년이 “비맞으면 감기걸려….”요러더니 뒤도 안 돌아보고 뛰어가더라 기분 묘했음,1
안녕하세요. 26상 취준생 고민녀입니다. 취업은 커녕 번번이 연애에도 실패했는데요. 남사친을 데리고 타로를 보러갔습니다. 타로며 사주며 전부다 사기라고 생각했던 남사친은 솔직한 마음은 자기도 보고 싶었는지 주머니에서 돈부터 꺼내더라고요. 그렇게 남사친은 연애운을 보게되었는데요. 타로점 결과 ‘가까이에 있는 사람을 좋아하는데 애써 모른척 하고있다’를 받았습니다. 직후 남사친은 공감하며 몇일 후 해당 타로집에 궁합을 보러 저와 다시한번 가자고 했습니다.,2
안녕하세요. 호떡을 좋아하는 고민녀입니다. 저는 호떡이 삶의 낙인데요. 호떡찾기가 힘든 시기인데요. 저희 남직원이 제가 호떡을 좋아하는걸 어떻게 알았는지 호떡을 사다주었습니다. 그 후 어느 주말 남직원이 호떡가게 사진을 찍어서 연락이 왔습니다. 굳이 한시간 거리임에도 먼저 연락을 해주었고 호떡믹스와 호떡누르개를 사주겠다고 연락이 왔습니다.,2
내가 고2 엿을때 내가 고1 때부터 다니던 단골 피방이 공사를 한다고 해서 아오 ㅅㅂ 피방어디가지 이러면서 애들하고 다른 피방다니다가 거의 한달만에 단골피방 공사가 다 끝나서 갓지 근데 원래 알바 하던 누나가 있는데 (진심 약간 모모타니 닮앗어) 그 누나는 남자친구 가 잇어서 (남친생키 키 가 그누나랑 비슷함 160 될까말까임) 근데 그 누나말고 처음 보는 알바 누나가 있는거야 원래 잇던 알바 누나보다는 얼굴은 딸리지만 그래도 예쁘긴 햇음 하지만 제일 중요 한거는 몸매가 진짜 쩔엇음 나는 보자마자 반해 가지고 ㅋㅋ 피방거의 출근하듯이 학교 끝나자마자 애들모아서 맨날 갓지 그러다가 한 2주 후에 피방에서 시간 다끝나서 몸매 쩌는 누나한테 내이름 말하고 꺼주세여 라고 할려고햇는데 갑자기 그누나가 먼저 나한테 내이름을 부르더니 꺼줄까 ? 이렇게 물어보는거야 그래서 나는 웃으면서 네 꺼주세요 ㅎ 그랫지 그때 기분 겁나 좋앗음 ㅋㅋ 그 이후로 약간 친해 졋지 피방에 들어갈때 누나한테 인사하면 누나가 어 안녕 OO야 라고 인사 해줫어 ㅋㅋ 이건 친해진게 아닌가 ? ㅋㅋ 하여튼 내이름 불러주니깐 너무 좋앗음 이제 본론으로 들어감 내가 아직도 기억한다. 추석 연휴첫날 이엇어 (나는 시골 안가거든 친가 외가가서울에 잇거든) 집에서 존나 심심하니깐 친구들한테 연락해서 같이 피방이나 가자고 햇지 근데 거의 다 시골 가고 한명만 안간거야 그래서 개랑 같이 피방을 갓어 아 ㅅㅂ 그 누나가 없는거야 하긴 추석이니깐 누나도 어디 갓겟지 라고 생각하고 친구 랑 겜하는데 그누나가 온거야 나는 그 누나 보고 너무 반가워가지고 ㅋㅋ 내가 성격이 소심해가지고 겜 하다가 가서 인사하기는 좀 그랫음 ㅋㅋ ;; 그렇게 겜 하다가 시간 다 끝나서 누나한테 꺼달라고 말하러 가는데 누나가 나 보더니 어 어디 안갓어 ? 물어 보는거야 그래서 나는 네 안갓어요ㅎ 친가 외가 다 서울에 계셔서 라고 대답 햇지 그러니깐 누나가 그러면 내일도 피방오겟네 ㅎ 그러길래 내가 네 당연하죠 ㅎ 라고 대답햇지 솔직히 처음에 누나가 물어보고나서 누나도 어디안가세여 ? 라고 물어보고싶엇는데용기가 안나가지고 ㅅㅂ 그래도 기분 좋게 인사하고 나왓어 그리고 다음날 나혼자와서 평소랑 똑같이 겜하고 잇엇는데 내 옆자리 에 잇던 어른들이 나보고 자리 좀 옮겨주면 안되냐고 물어보길래 옮겨줫지 (내가 어른들 사이에 잇엇거든 지네 끼리 붙어서 겜 할려고 물어본거임) 옮기고 나서 컴터 전원 키고 의자에 앉아서 기다리는데 누나가 내옆 자리 의자에 앉더니 니가 옮겨준거야 ? 라고 물어봣어 그래서 내가 네 제가 옮겨 줫어요 라고 대답햇지 그러니깐 누나가 웃으면서 갓어 그런데 ㅅㅂ 추석 연휴 끝나고 나니깐 누나가 안나오는거야 ;; 개 허탈 햇음 ;;,0
한 두달? 매일 연락햇음 사귀기로도 햇음 근데? 잠수이별당함 ㅋㅋㅋ 영문도 모른채 전화도 다씹으니까 뭐 땜에 그러는지 이유라도 알려달라고 삼일 매달럈는데 나중에 한다는 변명이 너무 날 보험삼는것 같았음 그래서 알겠다고 대충 대답하고 혼자 어거지로 행복회로 돌리다가 그냥 받아드럈지.. 질린거 맞고 끝난가라고 근데 난 내가 질려서 귀찮게 굴어서 싫어진게 너무 너무 마음이 아파서 다 차단하고 연상되는 모든걸보면 진짜 마음이 찢어질거같드라 오늘에서야 차단을 풀고 카톡을 봤음.. 6개월 지났는데 ㅋㅋ.. 아직도 덜 나았음.. 내가 유사얀애는 진짜 많이 해봤는데 이것도 이렇게 힘든데 진짜 사귀면 어떻게되냐.. 무서워,0
"친구가 종로에서 술을 먹고 있으니 놀러 오라고 했어요 그때 첨 보는 얼굴이 있었어 전 키가 크고 얼굴이 동그랗고 안경을 쓴 사람을 좋아해요 아무래도 호감이 가는 아이가 있다 보니 자꾸 눈이 가더라고요 집에 가는 길에 같아서 같이 택시를 탈수 있었어요 나를 내려주고 택시는 떠나고 난 집으로 향했죠 열 셀 동안 날 찾으면 사귈 거야 하고 걸음을 집으로 향했죠 하나~ 둘~ 셋~ 넷~ 다섯~ 여섯~ ""혼자 가시나 봐요?"" 그 아이였어요 전 너무 기뻐서 돌고래 소리 질렀어요 ""꺅~! 우리 이야기 좀 더할까?"" 이야기하다 보니 더 좋아졌어요",2
"학원(소수)다녓을때 그때 한창 싸이가 잘나갔음 근데 우리학원은 인원수가 적다보니 두루두루 친했음 근데 학원에서는 내가 청일점ㅇㅇ.. 그러다가 학원 친구가 학원에서 찍은 사진을 움짤(사진 몇개 묶어서 gif파일)로 만들어서 싸이에 올렸는데.. 친구 홈피에 그여자애(일진)가 댓글에 지금은 생각하면 오글거리지만.. ""얘 완전 내스타일이다 소개좀ㅋㅋ"" 이렇게 댓글을 단거임 ㅋㅋㅋㅋ 그거보고 나는 기분이 좋아서 얘 미니홈피를 들어가봤는데 존예(ㅈㄴ예쁜거) 인거임ㄷㄷ 그래서 친구가 나랑 걔랑 연결해줄때까지 기다리다가 전화번호를 알려줘서 문자질을 하다가(그당시 피쳐폰) 걔가 가출을 한상태였음 (고1 봄 5월정도?) 학교 자퇴도 했었고.. 무슨 자기말로 돈좀 모이고 만나자고 말해서 기다리기 힘들었지만 기렸음",2
존예 여친썰 몇개월후 이야기 입니다(안읽어도 상관X)... 편하게 음슴체로 하겠습니다. 본인 당시 26이었음... 여기서 7살 연하면 19살이지 않느냐 하실수 있는데 그런 걱정 안하셔두 됩니다.. 당시가 아마 10월달 이었을건데 당시 여친하고 헤어진지 얼마 안되고 교대근무로 많이 힘들었음... 당시 집에서 쉬는날 이었는데 집에만 있기 심심해서 작업하러 집 근처 카페를 갔었음... 당시 복장이 오버핏티셔츠에 무릎늘어난 츄리닝에 슬리퍼 끌고갔었음 카페에 도착하고 바로 아아랑 케이크하나 시켜서 2층으로 가서 구석진 자리에 앉았음 그리고 나서 바로 노트북으로 펨코랑 fm을 동시에 돌리는 고난도 작업을 했음 계속 열중하고 있는데 잠깐 몸풀때 건너편 여자랑 눈이 마주침 근데 눈을 바로 피하더라 ㅠㅠ 뭐 그런가보다 하고 있었는데 계속 나를 쳐다보는게 느껴지는거임... 그래서 다른데 보는척 하면서 보니까 계속 쳐다보더라... 그래서 뭐지?라는 생각이 들었는데 조금있다가 자리를 정리하고 1층으로 내려가는거임 그래서 그냥 가는가 보다 하고있었는데 갑자기 다시 올라오더니 나한테 직진하는거임 ㅋㅋ... 근데 그 여자가 '저 이거...' 하면서 거기서파는 쿠키랑 쪽지 접은거를 주더라 그래서 내가 '네? 저요?'하니까 나한테 휙 주고 가버렸음... 그래서 한 1분동안 아무 생각도 안들다가 쪽지를 확인해봤음.. 거기 내용은 '제 스타일이셔서 그러는데 여친 없으시면 연락 주세요 010-xxxx....' 솔직히 좀 당황하면서도 좋았었음 ㅋㅋ.. 그래서 나도 바로 집가서 조금 있다가 카톡을 했었음 대충 내용이 '혹시 쿠키 주신분 맞으실까요?' '아 넵 맞아요!' 로 시작해서 덕분에 쿠키 잘 먹었다 등등 이야기 하다가 걔가 먼저 나이 이야기를 했음 '저 혹시 나이가 어떻게 되세요?' '저 26살 입니다. 그쪽은요?' '아... 저 19살이에요' 여기서 머리를 몽둥이로 한대 얻어 맞은 느낌이었음 ㅋㅋㅋ 19살.... ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그래서 마음속으러 'ㅋㅋ 끝났네...' 했음 ' 아... 고등학생이시구나 나이차이가 많이나네요' 이런식으로 보냈었는데 걔가 '오빠 저 곧 성인되는데 기달려 주시면 안돼요?' 하더라 ㅋㅋ 19살의 노빠꾸에 좀 어질어질했음,2
내가 그날 진짜 기분이 너무 안좋았어. 굳이 티를 내려고 한 건 아니지만 내 목소리에 티가 났나봐. 여보세요 했는데 너 목소리가 왜 그래? 이러더니 택시를 바로 타고 와가지고 베라 패밀리에다가 내가 좋아하는 맛만 담아가지고 집 앞에 가지고 온거야. 근데 내가 혹시라도 쌩얼일까봐 집 앞에 두고 카톡하고 갔어,2
안녕하세요. 저는 17살 여고생입니다. 얼마 전에 저의 생일날 제 책상에 수제 캐릭터 케이스가 있더라구요. 저는 저의 생일을 귀찮아서 SNS에 알림설정을 하지 않았기에 친구가 선물한줄알고 친구한테 물어봤지만 친구가 준게 아니더라구요. 제 책상에 있어서 해당 케이스를 끼고 등교를 했는데 같은 반 남학생이 학생증을 통해서 제 생일을 기억해놓고있다가 직접 케이스를 만들어서 선물했다고 하더라구요. 그 다음날 그 친구가 또 같은걸 만들고 있더라구요.,0
눈 뜨자마자 저한테 연락하고 어제 잘자라고 못해줘서 미안하다 그러고 음성으로 뭐하냐고 자기 일상 보고하는데 제 일상이 궁금하다는데 혹시 이거 썸인가요?,2
내가 유럽여행 갔을때 해리포터 완전 팬이라 런던 해리포터스튜디오갔었는데 거기가는 셔틀버스에서 우연히 옆에 같이 앉게된 남자애가 있었어 영국인이였음 걔는 친구들이랑 왔는데 버스에서 스몰톡했는데 어쩌다보니까 내 거지같은 영어실력으로 도착할때까지 얘기를 안끊기고 계속함 근데 도착해서도 얘가 친구들 버리고 나랑 다님 사진도 찍어주고ㅋㅋㅋㅋㅋ 다시 도착해서 인사하고 가려는데 나랑 같이 저녁먹고 싶다는거야 그래서 저녁먹고 런던야경 구경하고 숙소까지 데려다줬는데 언제가냐고 이런저런얘기하다가 내가 런던에 7일있었는데 5일동안 계속 만나게 됨ㅋㅋㅋㅋ마지막날 공항 바래다주고 고백같은 말을 함 오글거리는데 첨만난날 내옆자리 앉은거 자기한테 너무 행운이였고 너가 날 잊어도 자기는 나랑보낸시간이랑 나 평생 잊을수없을거라고 누가 날 평생 기억한다는데 좀 설렘 근데 지구반대편 사니까 뭘 할수도없자나ㅋㅋㅋ 글고 떠나기전날 알았는데 나랑 6살차이 나고 미자였음ㅋㅋㅋㅋㅋㅋ그래서 걍 ㅂㅂ했는데 내 인생 진짜 잊을 수 없는 1주일됨 그때 평생들을 예쁘다는말 걔한테 다 들었어,0
"나 여잔데 가한테 맞고 울었던 적도있고 내가 가 물어서 걔가 진심으로 빡쳤던 적도 있다 ( 물어서 피남ㅋㅋㅋㅋ... 이 모든게 다 썸타던기간에 일어난일임 썸 아닌거같지? 나도 그래ㅋㅋㅋ ) 어쨌던 내가 키가 좀 작은편이란말야 그때당시 154였는데 ( 현재 157.8 ) 반에 나만큼 작은애들이 없었어. 그래서 남자애들도 맨날 나 놀리고 여자애들도 맨날 나 놀리고 아무렇지 않은척했지만 내딴엔 좀 상처받고 콤플렉스였단말야. 근데 전남친이 181이였어 키가...( 지금은 더 컸더라. 같은학교라서 맨날 마주침ㅅㅂ) 그래서 그날도 걔가 막 "" 니 존ㄴ 작다~ㅋㅋㅋㅋ "" 이러면서 계속 놀려서 나도 "" 아 아니라고ㅋㅋ "" 이러고 몇번 받아주다가 너무 화가나는거야. 콤플렉스인데 자꾸 건드리니까. 그래서 나도 받아주다가 빡쳐서 "" 시ㅂ, 뭐래ㅋ "" 이러고 표정 완전 구기고 내자리로 걸어가려고 하는데 걔가 뒤에서 잡아서 확 안으면서 허리 구부리고 귀에다 "" 거봐, 진짜 작잖아. "" 이랬음. 애들 다있는데. 쉬는시간이였는데!!ㅋㅋㅋㅋㅋ 나 진짜 심장 쿵쾅쿵쾅 거리고 너무 설레서 "" ㅎ(숨뱉는소리) 하지마라 "" 이러고 내자리로 천천히 걸어감. 와 난 진짜 ㅍㅂ에서 보던일이 나한테 일어날줄 몰랐음.. 그리고 맨날 때리고 안그러던 애가 그러니까..",2
그냥 초5때부터 지금까지 좋아했던 날들이 막 생각나면서 쓸데없이 의미부여 하다가 나중에 혼자 실망했던 날들도 떠오르고 그래서 밤마다 울면서 이제 포기하자 생각도 했는데 막상 그 다음날 또 마주치면 마냥 좋기만 하고.... 6~7년동안 나 많이 챙겨주고 내가 힘들어 할 때마다 위로도 해주고 그랬는데 딱 동생 그 이상의 선은 절대로 안 넘었어 내가 은근슬쩍 떠봐도 헛소리 하지 말라면서 들은체도 안하고.. 나쁜놈.. 아무튼 내가 저런 얘기들 다 할 때동안 짝남은 그냥 끄덕끄덕하면서 들어줬어 근데 내가 고3때 맨날 울어가지고 짝남이 나 우는거 싫어한단 말이야 그래서 내가 얘기하다가 말고 나 또 우는거 보기 싫지!? 이랬는데 짝남이 나 때문에 우는건데 내가 어떻게 뭐라해 이러면서 눈물 닦아줬는데 이런거에 나는 또 설레고... 아진짜 그냥 열받았어 그만 좋아할 법도 한데 몇년동안 지겹도록 짝남 때문에 기분이 하루에도 몇번씩 왔다갔다 하고 포기하자 포기하자 싶다가도 전화만 오면 막 심장이 빨리 뛰고... 에휴.. 그래서 진짜 이런 짓들 좀 그만하고 싶어서 차이더라도 다 얘기하려고 했던거였어 몇십분동안 나만 얘기하다가 내가 이제 오빠도 얘기 좀 해보라고 했는데 처음에 나한테 딱 한 말이 그럼 그동안 연락은 왜 피했냬 그래서 내가 이제 안 만나면 안 좋아하게 될 거 같아서 그랬다고 했더니 자기는 내가 좋아하는 사람이나 남친이 생긴줄 알았다는거야 내가 고3때 맨날 나 대학만 합격하면 남자친구 사겨서 맨날맨날 손잡고 이곳저곳 데꼬 다닐거라고 했거든.... 그냥.. 해본 말이였어...내 희망사항.... 아니 사실 떠 본것도 있긴 해.. 아무튼 내가 그런거 아니라고 했더니 잠깐 뜸들이다가 웃으면서 하는 말이 너가 12살때부터 였으면 내가 너 좋아한 시간들은 진짜 별 것도 아니네 이러는거야 진짜 이게 하... ㅈㄴ잘생긴 놈이 저렇게 말하니까 내가진짜 심장이 막 튀어나올정도로 빨리 뛰고 맥주 한두잔 마신게 다인데 얼굴이 아주 터질거 같이 빨개진게 나도 느껴지고ㅠㅠㅠㅠㅠㅜㅠㅜㅠㅜㅠㅜㅠㅜ 짝남도 길게 얘기했는데 그냥 간단하게 말하자면 자기는 내가 고1이였을 때부터 그니까 짝남으로 따지자면 고2 때부터 좋아했대 근데 곧 자기가 고3이라 얘기를 못했고 막상 입시가 다 끝나니까 또 내가 고3이고 자기는 성인이라 얘기를 못했고 이제는 자기가 또 군대를 가야돼서 얘기를 안하려고 했대 내가 고딩때 일부러 몇번 떠본 것도 알고 있었다는데 일부러 선을 그은거였대 고딩때 사겨봤자 자기가 잘 못 챙겨줄 것 같았고 솔직히 말해서 우선순위가 내가 아니고 대학이 먼저였대 이 말 듣고 나는 쪼꼼 서운..ㅎㅎ 나는 항상 너가 우선이였는데 으휴... 아무튼 그래서 그냥 이렇게 자주 만나면서 지내는 것도 나쁘지 않겠다 싶었는데 내가 갑자기 연락도 안보고 만나자고도 안하니까 애가 탔대ㅋㅋㅋㅋㅋㅋㅋ 아오 더 무시할걸 그랬나봐 저 말 듣고 속이 어찌나 후련하던지!! 근데 문제는 아직 몇개월이 남긴 했지만 자기가 올해 군대에 가면 너만 힘들지 않겠냐면서 뭐라고 엄청 말을 많이 했는데 들어보니까 결론은 군대에 가있는 동안 내가 맘 변해서 혹시 헤어지자 하면 어쩌나 하는거였음 하 너무 귀엽지 않냐ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 내가 웃으면서 저 말 했더니 어떻게 걱정을 안해.. 이러길래 내가 몇년을 좋아했는데 오빠 고작 1-2년 가있는다고 맘이 변하겠냐 이러면서 얘기하고 음.. 또 만약 헤어진다 하더라도 그거 걱정해서 지금 안사귈거냐고 아직 몇개월 남았다매 나랑 같이 손잡고 이곳저곳 다니자고 뭐 이런저런 말들을 했엉.... 무릎이라도 꿇었어야 됐나 지금보니까 마지막까지 아주 나만 매달리네 누가보면 내가 군대가는줄.... 아무튼 오빠랑 더 계속 얘기하다가 사귀기로 했어!!!!!!! 나 집에 데려다 줄 때 내가 진작 말하지 그걸 왜 안말해 이러면서 일부러 좀 툴툴대면서 먼저 앞으로 갔더니 아 이리와ㅋㅋㅋ내가 가? 이러는거야 그래서 내가 어 오빠가 좀 와!! 이러니까 자기가 와서는 내 손 잡더니 이제 나 이곳저곳 데리고 다녀~ 이럼ㅋㅋㅋㅋ 솔직히 조금 걱정되긴 하지만 나중 일 생각하자고 지금 하고싶은 일을 안하는건 조금 그렇자나 내 선택이니까 후회도 내 몫이고 만약 헤어지더라도 또 하나의 경험이 되겠지 머..ㅎㅎ,2
체육대회에서 계주 하다가 넘어져서 무릎이랑 손이 까졌는데 썸남이 나한테 묻지도 따지지도 않고 걱정하는 표정으로 나를 업어서 양호실로 데려갔을때 설렜어,0
"안녕하세요. 최근 이사를 한 27살 고민녀입니다. 최근에 동네 주민이된 여성동료 1명과 남성동료 1명, 3명이서 카풀을 하게되었습니다. 카풀을 할때마다 저만 조수석에 태우고 다른 여성동료를 뒤에 태우고 출근을 했습니다. 퇴근을 할때는 제 집을 지나쳐 다른 여성동료를 먼저 내려주고 마지막에 저를 내려주었습니다. 그래서 제가 뒤에 타겠다고 말을 먼저했고 남직원은 일부러 조수석에 태운거고 노래선곡을 잘한다는 칭찬을 해주었습니다.",2
저번주에 오션월드 갔는데 파도풀에서 놀다가 안전요원들이 파도 올때마다 잠수 하는게 너무 멋진거야 근데 내가 와.. 하고 쳐다보고있었는데 좀 훈훈하게 생긴 안전요원이랑 눈마주치고 그 안전요원이 파도오는거 쓱 보더니 나 보고 살짝웃고 잠수하는데 너무 멋졌어,0
